TOT_POP,0-9,19-Oct,20-29,30-39,30-39 y/o % of total pop,40-49,50-59,60-69,60-69 y/o % of total pop,70-79,80+,White-alone pop,Black-alone pop,Native American/American Indian-alone pop,Asian-alone pop,% Asian-alone,Hawaiian/Pacific Islander-alone pop,Two or more races pop,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_INTERNATIONAL_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,POVALL_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Median_Household_Income_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,Percent of Population Aged 60+,county_pop2018_18 and older,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,anycondition_number,Obesity_prevalence,Obesity_Lower 95% CI,Obesity_Upper 95% CI,Obesity_number,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,COPD_prevalence,COPD_Lower 95% CI,COPD_Upper 95% CI,COPD_number,diabetes_number,CKD_Upper 95% CI,CKD_number,Urban_rural_code
20298,2741,2696,2638,2339,11.52330279,2359,2725,2403,11.83860479,1547,850,11844,8123,65,51,0.251256281,6,209,20298,-118,137,-0.1,2884,5097,3370,2170,37.7,16.0,4318,37401,33301,41501,7506,7103,403,37401,14.17753312,0.72722725,0.672855119,8.013092787,7.455778445,22.97902181,6,20458,4447,21.7,15333,57.2,55.3,58.9,8764,41.3,39.9,42.7,6333,9.1,8.4,9.8,10.1,8.9,11.3,1553,2475,4.0,576,6
52014,6730,8822,12256,7946,15.27665628,5089,4532,3461,6.653977775,2088,1090,40510,6493,615,1623,3.120313762,375,2398,52014,168,9953,0.7,2492,8010,10989,7509,27.6,25.9,6350,52532,47302,57762,14629,14103,526,52532,29.01056566,5.645895863,1.035788414,32.35565283,23.22882869,92.24459932,0,53132,6246,11.8,40643,39.6,37.5,41.6,16081,33.5,31.9,35.0,13615,4.8,4.4,5.2,6.1,5.3,6.9,2469,3229,2.2,864,5
44161,6126,6127,5362,5114,11.58035371,4721,5346,5336,12.08305971,3735,2294,35463,998,4802,285,0.645365821,180,2433,44161,-361,1274,0.2,3981,9697,10344,5661,32.7,19.1,8751,45700,42799,48601,18989,18103,886,45700,12.66677411,14.42511499,1.39995293,14.77230332,25.31114898,52.21264448,6,45173,11238,24.9,33070,50.4,48.5,52.2,16674,38.5,36.8,40.1,12732,10.0,9.0,10.9,10.0,8.6,11.4,3307,4454,3.9,1194,5
12691,1343,1719,2663,1044,8.226302104,1196,1540,1670,13.15893153,880,636,3205,9111,17,256,2.017177527,4,98,12691,-89,939,3.1,1238,2969,1936,1715,37.8,21.8,4076,27859,24843,30875,4768,4487,281,27859,6.587135176,1.389088419,0.262239122,5.932835584,4.850125545,16.46653973,0,13084,3005,23.0,10284,53.4,51.1,55.4,5496,40.4,38.5,42.0,4155,9.3,8.6,10.1,9.9,8.8,11.2,1020,1946,4.7,456,6
36968,3572,3781,3463,3594,9.721921662,3672,5158,5790,15.66219433,5003,2935,30774,4782,149,529,1.430967323,76,658,36968,-52,373,0.1,2633,7197,7411,10839,25.6,38.6,3377,64245,58024,70466,19562,18829,733,64245,20.45172785,14.07700442,0.30588884,34.79791445,10.49198722,84.00931104,16,37461,12868,34.4,30253,41.6,39.4,43.8,12585,30.0,28.5,31.3,9076,8.8,7.9,9.9,8.5,6.9,10.1,2557,3656,4.0,1106,5
56195,5598,6581,5817,5432,9.666340422,6248,8738,8836,15.72381885,6188,2757,50321,4469,256,271,0.48224931,31,847,56195,-131,1159,-0.1,5311,14203,12885,8372,34.8,20.5,8390,53522,48961,58083,26271,25464,807,53522,29.54338063,13.86783968,0.63335519,28.02596715,24.60189065,77.53323115,4,56277,16636,29.6,45416,48.2,45.8,50.3,21897,35.3,33.4,37.1,16032,9.5,8.6,10.4,9.9,8.4,11.4,4504,6315,3.9,1653,3
15695,1993,1896,2825,2742,17.47053202,2137,1577,1215,7.741318891,804,506,14330,822,143,240,1.529149411,11,149,15695,400,3133,6.0,3640,2779,2568,1086,27.6,10.8,2693,45341,41216,49466,9126,8933,193,45341,5.413606686,3.195121603,0.285991545,5.938562486,5.256119946,18.53640803,0,14791,2482,16.8,12166,48.4,46.1,50.5,5885,39.0,37.4,40.7,4745,6.7,6.1,7.2,5.7,5.1,6.4,698,1666,3.4,382,5
399182,49218,53084,48605,55760,13.96856572,50781,55649,45344,11.35922962,26420,14321,358794,20376,975,10773,2.698768983,246,8018,399182,3937,5448,1.5,13874,66271,83702,99685,25.1,37.8,22272,82048,79267,84829,221947,216310,5637,82048,222.6418968,43.32948826,7.949169274,248.3138041,178.2698945,707.9321653,39,385115,74900,19.4,306516,42.6,40.4,44.8,130626,33.7,31.8,35.3,103296,5.9,5.3,6.5,6.6,5.6,7.8,20338,28790,2.6,7497,2
43734,5881,5967,5252,4947,11.31156537,5286,5900,5093,11.64540175,3610,1798,41765,786,199,259,0.592216582,10,715,43734,407,407,0.3,5045,12953,7286,3604,44.8,12.5,7643,43651,39520,47782,18309,17570,739,43651,37.13185534,7.700273412,0.742895505,23.17187981,16.05946284,65.26498513,6,42591,9973,23.4,32802,54.1,51.8,56.3,17760,39.0,37.2,40.8,12793,10.2,9.2,11.1,12.4,10.8,14.1,4062,4742,3.9,1179,5
5546,854,783,564,601,10.83663902,627,694,688,12.40533718,433,302,5337,48,74,14,0.252434187,4,69,5546,35,312,0.5,443,1234,1092,846,34.1,23.4,514,59913,53781,66045,3083,3006,77,59913,2.973423181,2.539668002,0.358319495,2.131058051,3.400892053,6.022282045,0,5515,1423,25.8,4019,40.9,38.3,43.4,1643,32.6,30.8,34.4,1310,7.8,6.9,8.6,6.3,5.3,7.5,253,415,3.4,124,4
19807,1887,2113,2143,2049,10.34482759,2032,2823,3319,16.75670218,2233,1208,8020,10205,1112,76,0.383702731,5,389,19807,-62,893,-0.1,2813,4909,4456,2239,34.1,15.5,3750,38430,34718,42142,6574,6183,391,38430,8.997788729,8.091715028,0.213642641,9.642531699,7.675874888,28.57279571,0,20190,6367,31.5,16160,56.5,54.8,58.2,9130,40.6,39.2,42.0,6561,11.2,10.4,12.0,11.3,10.1,12.6,1824,3167,5.1,777,6
12288,1386,1563,1288,1471,11.97102865,1431,1847,1681,13.68001302,1025,596,11905,112,41,47,0.382486979,3,180,12288,2,154,-0.2,578,3213,2941,2026,36.7,23.1,1092,74872,69476,80268,6689,6421,268,74872,4.786512917,2.403383073,0.180350174,9.30780499,5.838716341,20.62357288,0,12416,3156,25.4,9587,44.7,41.6,47.3,4283,32.6,30.7,34.6,3125,7.4,6.6,8.2,8.3,7.0,9.6,796,1001,3.2,287,4
179436,25241,27414,22551,24022,13.38750307,23763,23092,18523,10.32290064,10243,4587,152196,20431,1547,1467,0.817561693,264,3531,179436,5800,1656,0.8,15495,30531,37049,24996,28.3,23.1,15609,76792,73595,79989,89935,86971,2964,76792,61.89206304,36.52882064,3.269651411,67.89371763,60.09156666,211.9209245,18,164092,29137,17.8,131486,46.4,44.8,48.0,61039,36.4,35.2,37.5,47861,6.4,5.8,6.9,6.8,5.9,7.7,8883,15490,3.1,3783,2
8645,1084,1090,951,851,9.84384037,904,1237,1220,14.11220359,774,534,8463,38,26,30,0.3470214,6,82,8645,95,73,-0.2,429,2465,2026,1010,41.6,17.0,1290,49956,45451,54461,4467,4378,89,49956,5.264552167,2.336453173,0.323213921,3.500571108,5.919197312,11.19470588,0,8600,2459,28.6,6637,46.3,44.1,48.5,3074,37.4,35.6,39.3,2482,8.7,7.9,9.6,8.1,7.0,9.4,539,793,3.7,224,6
9036,1081,1175,985,1038,11.4873838,957,1327,1245,13.77822045,793,435,5324,3468,47,41,0.453740593,2,154,9036,69,175,0.0,976,3288,1355,668,52.3,10.6,2062,41036,36536,45536,3833,3663,170,41036,4.13598017,2.857820566,0.124551843,4.275993621,2.929974737,10.98461359,0,9147,2285,25.0,6983,51.6,49.8,53.3,3604,36.5,35.1,37.8,2549,9.9,9.2,10.6,11.2,10.0,12.3,781,1229,4.5,298,6
14465,1716,1908,1755,1672,11.55893536,1730,1829,1896,13.10750086,1203,756,7825,6289,69,66,0.456273764,16,200,14465,-58,129,-0.3,1903,4464,2073,1310,45.8,13.4,3350,33566,29869,37263,5024,4699,325,33566,10.10336076,0.518245255,0.479497946,5.710384627,5.313224712,16.37558136,0,14670,3582,24.4,11164,59.9,58.3,61.5,6690,45.4,44.0,46.8,5068,10.8,10.0,11.6,11.8,10.6,13.1,1320,2035,4.7,497,6
94016,10782,12221,11779,10376,11.03641933,11573,13361,12396,13.18498979,7752,3776,51661,38591,939,970,1.031739278,76,1779,94016,4,2124,0.5,9439,21746,19963,13505,33.6,20.9,13024,50122,46046,54198,43288,41097,2191,50122,42.70894659,38.40817287,1.014077172,45.76928663,36.43434409,135.6237674,21,94125,22363,23.8,73444,49.7,48.1,51.5,36526,38.2,36.8,39.6,28056,8.5,7.9,9.2,8.9,7.9,10.1,6521,11033,3.9,2711,4
52516,5459,6336,5910,5750,10.9490441,6208,8011,7579,14.43179222,4773,2490,50589,686,333,169,0.321806688,22,717,52516,-278,1078,0.1,4045,15824,12905,5180,41.7,13.6,6580,51113,48649,53577,23860,22556,1304,51113,23.22155801,19.87492171,0.756539446,38.95652774,31.64331309,106.6668082,0,53569,14012,26.2,41784,49.6,47.4,51.6,20706,36.7,34.8,38.5,15335,9.5,8.7,10.4,11.0,9.6,12.6,4590,5404,3.8,1473,6
20611,1617,2075,1805,1667,8.087914221,2184,3082,3585,17.39362476,2831,1765,19136,901,128,136,0.659841832,2,308,20611,93,339,0.1,1433,4108,5248,5014,26.0,31.7,2389,50467,45770,55164,8969,8633,336,50467,9.36302436,8.420171578,0.222314761,10.03393855,7.987451775,29.73261435,6,20434,7657,37.5,17304,44.9,42.2,47.5,7761,30.6,28.6,32.6,5295,10.2,9.0,11.4,9.5,7.8,11.4,1651,2361,4.2,666,6
15951,2136,2264,1714,1742,10.9209454,1729,2080,2051,12.85812802,1336,899,15014,219,241,111,0.695881136,10,356,15951,-77,450,0.4,910,3374,4242,2217,31.4,20.6,2271,46176,41383,50969,6010,5716,294,46176,8.99587739,4.558203403,0.761526771,6.601724881,9.801233039,20.8899394,5,16209,4042,24.9,12022,50.1,47.9,52.2,6029,37.8,36.0,39.6,4544,8.7,7.9,9.7,9.1,7.8,10.5,1089,1625,3.8,422,6
107239,11823,14667,11674,12073,11.25803113,13907,16519,13762,12.83301784,8481,4333,92478,10088,567,1971,1.837950746,67,2068,107239,1389,1953,0.9,4983,18366,20352,28158,25.6,39.2,5509,91028,86709,95347,58367,56844,1523,91028,56.37872755,26.46451213,1.208655169,53.48299121,46.94869921,147.9595369,24,103218,23448,22.7,83667,38.4,36.3,40.7,32101,27.2,25.7,28.8,22757,6.5,5.9,7.3,6.5,5.4,7.6,5408,8165,2.9,2266,2
18691,2151,2284,1822,1885,10.08506768,1940,2539,2802,14.99117222,2150,1118,17719,400,162,107,0.572468033,14,289,18691,373,330,0.3,1941,4638,4007,2403,35.7,18.5,2721,48460,43785,53135,8220,7916,304,48460,6.447003668,3.805034589,0.340584133,7.07216766,6.259454471,22.07480105,0,17955,5546,30.9,14658,48.9,46.6,51.1,7171,34.8,33.1,36.5,5101,10.3,9.3,11.4,9.8,8.4,11.2,1435,2154,4.2,566,6
1034,129,117,90,117,11.31528046,94,152,169,16.344294,94,72,1002,0,12,6,0.580270793,2,12,1034,17,24,0.0,102,328,209,168,40.6,20.8,121,49532,44063,55001,464,448,16,49532,0.490570975,0.380581848,0.054507886,0.334834158,0.571359449,1.121305087,0,1121,380,33.9,813,43.0,40.3,45.5,350,31.8,29.8,33.7,259,9.8,8.7,10.9,9.1,7.7,10.7,74,106,4.2,31,6
217522,29012,32489,38606,25656,11.79466904,22324,23382,22348,10.27390333,15366,8339,199816,5224,5118,2916,1.340554059,376,4072,217522,1336,4394,1.0,26731,29324,37946,35624,22.6,27.5,52914,38409,35177,41641,96769,91299,5470,38409,106.0916834,55.22580781,4.256124286,101.6279433,117.8219772,300.4200898,51,213849,41981,19.6,164291,41.4,39.6,43.0,67959,32.1,30.8,33.3,52737,6.9,6.3,7.5,6.4,5.6,7.3,10568,21025,3.8,5923,4
57686,7972,7931,7482,7625,13.21811185,6950,8207,6497,11.26269805,3389,1633,54891,1150,234,323,0.559927885,33,1055,57686,1552,632,0.2,4273,15381,11028,5802,42.2,15.9,6055,62238,56397,68079,27367,26463,904,62238,32.17409718,6.261567054,1.148738617,35.88395796,25.76187588,102.3036482,4,54800,9951,18.2,43028,45.6,43.2,47.8,19641,35.8,34.0,37.5,15404,7.3,6.6,8.0,9.1,7.9,10.5,3918,4652,3.0,1217,2
56682,6478,7319,5864,6989,12.33019301,7818,7842,7458,13.15761617,4714,2200,54603,646,157,489,0.862707738,24,763,56682,17,249,0.0,2927,14877,11477,10654,37.3,26.7,5630,61995,55932,68058,26118,24829,1289,61995,29.56778039,20.96738567,1.757744907,30.63498266,38.95288266,87.98141023,0,56644,13622,24.0,44063,51.2,48.8,53.7,22543,39.7,37.9,41.5,17493,8.7,7.8,9.7,10.0,8.5,11.7,4427,5538,3.2,1312,3
102793,8118,15701,25726,11563,11.24882044,9927,11043,11098,10.79645501,6273,3344,83378,4527,480,10900,10.60383489,67,3441,102793,115,13094,6.5,3447,11592,13231,31512,19.4,52.7,15146,57383,53182,61584,50112,48283,1829,57383,66.33449284,46.77762627,0.87316833,108.9882398,34.08512518,257.2585343,16,104415,18998,18.2,87787,28.6,26.8,30.2,25108,22.1,20.9,23.3,19401,5.4,4.8,5.9,5.9,5.0,6.8,5160,6833,2.5,2054,4
48649,4382,6609,5938,5057,10.39486937,5873,7494,6587,13.53984666,3881,2828,45770,715,139,1088,2.236428292,22,915,48649,-151,2771,0.2,3383,6794,7887,16104,19.9,47.1,3557,80231,73090,87372,26082,25180,902,80231,30.0457262,14.03360872,0.50613015,60.18347607,13.02134842,118.756538,0,49028,12397,25.3,39531,31.9,29.6,34.2,12601,24.4,22.8,26.1,9646,6.6,5.8,7.5,6.7,5.3,8.1,2650,3615,3.0,1102,2
45129,4543,5222,4805,4245,9.406368411,4476,6029,7309,16.19579428,5826,2674,41187,2490,470,262,0.580557956,30,690,45129,838,1721,0.0,4852,10919,10930,5246,34.2,16.4,6625,48384,43661,53107,17343,16607,736,48384,15.56614566,9.187170616,0.822332746,17.07559009,15.11331233,53.29911168,0,43315,14771,34.1,36457,51.1,48.6,53.2,18613,35.3,33.6,37.0,12869,10.6,9.6,11.8,10.3,8.7,11.9,3738,5522,4.3,1442,6
2213,264,308,222,203,9.173068233,203,347,340,15.3637596,173,153,2130,23,16,10,0.451875282,0,34,2213,-1,80,0.0,184,558,497,313,36.0,20.2,247,50123,44704,55542,1199,1166,33,50123,1.186474125,1.01339439,0.142978912,0.850348263,1.357045458,2.403049074,0,2255,606,26.9,1689,42.7,40.0,45.2,721,32.6,30.5,34.6,551,8.7,7.8,9.7,6.8,5.7,8.0,114,191,3.7,57,6
514631,62979,64590,75141,70651,13.7284773,60298,64603,62088,12.06456665,35396,18885,458455,10309,9276,12504,2.429702058,3146,20941,514631,8703,14276,1.5,21277,79810,134267,102693,23.6,30.4,65365,59408,57344,61472,244056,231302,12754,59408,207.4070032,130.3037742,6.282991208,255.9635983,301.6518714,759.2175354,113,490764,105082,21.4,400580,41.1,39.2,42.8,164540,32.3,30.9,33.7,129387,6.5,5.9,7.2,6.5,5.5,7.6,26009,39303,3.1,11687,3
62190,8829,9115,7809,9035,14.52805917,8522,8178,6085,9.784531275,3295,1322,51087,8758,282,704,1.132014793,78,1281,62190,2132,606,0.7,4568,14388,11462,7647,37.8,20.1,5080,65793,60362,71224,29925,28936,989,65793,28.46575994,19.66886465,0.857224339,29.42939833,20.16546358,75.60127478,0,57087,9061,15.9,45726,41.7,39.6,43.6,19050,33.4,31.9,34.9,15272,6.1,5.6,6.7,7.4,6.4,8.4,3379,4812,2.8,1215,3
2131,181,390,227,305,14.31252933,268,296,249,11.68465509,146,69,1965,73,23,30,1.40778977,1,39,2131,18,278,0.0,165,384,342,259,33.4,22.5,245,56590,51168,62012,908,884,24,56590,0.735036371,0.433819951,0.038830709,0.806312626,0.713653495,2.516794234,0,2083,388,18.6,1605,46.3,44.0,48.6,743,34.9,33.2,36.6,560,7.7,6.9,8.5,8.1,6.8,9.3,130,192,3.3,49,3
465861,78108,78615,67743,62907,13.50338406,53850,49612,39377,8.452521246,23120,12529,410842,10228,12876,18593,3.991104643,1077,12245,465861,2764,5053,0.2,81345,69974,79261,38493,26.0,14.3,102451,48763,46272,51254,204589,184940,19649,48763,181.5297744,93.23804488,4.227921954,263.36774,178.985955,692.1426216,51,458809,69266,15.1,323013,42.9,41.3,44.5,138599,35.0,33.7,36.2,113055,6.9,6.4,7.4,7.4,6.6,8.2,23820,42445,3.7,11444,3
64227,6333,7240,6716,7144,11.12304794,8003,10012,9588,14.92830118,5931,3260,61335,1452,222,371,0.577638688,60,787,64227,362,700,0.2,4873,21390,12894,7899,45.5,16.8,7522,53901,49480,58322,31526,29929,1597,53901,35.11982305,28.42985533,0.997978693,52.03531115,36.12783168,134.2356567,13,63987,17239,26.9,51852,41.6,39.4,43.8,21569,31.9,30.2,33.6,16541,8.4,7.6,9.3,9.1,7.8,10.4,4706,6425,3.6,1724,3
13308,1583,1658,1543,1510,11.34655846,1411,1936,1686,12.66907124,1240,741,7435,5574,59,45,0.338142471,0,195,13308,-331,319,0.0,1620,3951,2727,1174,41.7,12.4,3481,34047,30302,37792,5670,5339,331,34047,6.751128868,2.190404332,0.451217581,7.159509337,5.117606993,21.3985654,0,13806,3706,26.8,10332,58.2,56.3,59.8,6010,40.9,39.4,42.3,4226,11.5,10.7,12.3,12.6,11.4,14.0,1306,1971,5.0,490,6
17769,2342,2095,2088,1932,10.87286848,2142,2418,2388,13.43913557,1482,882,12810,4420,64,148,0.83291125,7,320,17769,-135,247,-0.1,2121,4774,3646,1937,38.3,15.5,3120,43887,39457,48317,9070,8762,308,43887,7.694058215,1.23222848,0.518833044,5.300351215,9.934473634,21.44313389,0,18352,4693,25.6,13695,52.5,50.5,54.2,7186,38.3,37.0,39.8,5245,10.3,9.5,11.2,10.8,9.5,12.2,1481,2120,4.2,536,6
51323,6404,6895,5644,5548,10.80996824,5971,7198,6627,12.9123395,4431,2605,49983,330,121,239,0.465678156,24,626,51323,-254,607,0.3,3294,17172,9688,5185,48.6,14.7,4800,53853,49181,58525,25814,24803,1011,53853,26.51449034,9.817254579,0.851765379,34.71163448,23.7352765,100.025355,6,51919,13217,25.5,39189,51.1,48.6,53.3,20021,38.9,37.2,40.8,15245,8.9,8.1,9.9,10.3,8.9,11.8,4022,5203,3.5,1277,5
62567,7529,8769,6637,7597,12.14218358,8277,8633,7843,12.53536209,4813,2469,58682,1041,175,1669,2.667540397,29,971,62567,62,727,0.9,2967,13321,13586,12541,31.4,29.6,4373,75534,69373,81695,33148,32176,972,75534,32.2844874,7.900489967,1.234159379,24.59904036,31.06902741,81.39842089,24,61581,13734,22.3,47646,42.9,40.4,45.3,20445,31.6,29.7,33.5,15056,7.0,6.3,7.7,8.2,6.9,9.7,3914,5465,3.0,1338,3
2664,347,382,276,314,11.78678679,286,361,333,12.5,212,153,2191,216,71,38,1.426426426,0,148,2664,-33,100,1.5,446,453,620,412,23.5,21.3,612,38537,34740,42334,1200,1165,35,38537,0.764119613,0.870191036,0.08445177,0.891135075,1.526887998,3.149713206,0,2758,720,26.1,1989,52.2,50.2,54.2,1039,38.1,36.6,39.6,758,10.1,9.2,11.1,9.8,8.4,11.2,195,302,4.2,77,6
10673,1201,1327,1172,1142,10.69989694,1413,1486,1462,13.69811674,949,521,9891,364,123,82,0.768293826,4,209,10673,-48,196,0.4,1153,2946,2364,1113,38.9,14.7,1856,41534,37431,45637,4255,4078,177,41534,4.621457782,0.740141515,0.311638532,3.183670917,5.967169627,12.87987889,0,10893,3014,27.7,8392,49.5,47.3,51.6,4155,33.9,32.2,35.8,2845,10.6,9.6,11.6,11.1,9.6,12.7,928,1212,4.0,312,6
4833,352,458,339,465,9.621353197,591,751,1087,22.49120629,610,180,4645,4,43,38,0.786261122,8,95,4833,24,0,0.2,62,699,1213,1866,18.2,48.6,361,68900,61564,76236,2400,2316,84,68900,2.456567076,1.906703357,0.075521406,2.123933468,2.310615595,6.185118278,0,4653,1815,39.0,4091,32.8,30.2,35.7,1343,22.7,20.8,24.5,929,7.3,6.5,8.3,6.3,5.1,7.7,258,393,3.5,132,6
1516,150,172,145,174,11.47757256,180,208,192,12.66490765,186,109,1411,54,12,4,0.263852243,0,35,1516,-2,0,1.3,148,366,333,249,33.4,22.7,245,44409,39531,49287,559,537,22,44409,0.522907151,0.308620857,0.027624287,0.573613299,0.507695307,1.790455213,0,1591,477,30.0,1232,52.1,50.2,54.1,642,37.5,36.2,38.9,462,11.0,9.9,12.1,9.8,8.3,11.5,121,196,4.5,52,6
9605,754,837,901,1206,12.55596044,1364,1635,1735,18.06350859,895,278,9068,108,114,97,1.009890682,6,212,9605,23,84,2.1,123,1536,2270,3416,20.9,46.5,686,74019,66250,81788,6075,5891,184,74019,4.882128442,3.789341143,0.150089614,4.221059583,4.592067616,12.29217071,0,9257,2454,26.5,8157,31.2,28.7,33.5,2543,23.3,21.6,25.1,1901,6.0,5.4,6.8,5.6,4.6,6.6,453,680,2.9,223,2
118189,15904,16933,18611,16682,14.11468072,11975,13136,12419,10.50774607,7732,4797,107215,5181,1335,1699,1.437528027,187,2572,118189,500,5315,-0.5,10768,22881,23315,18162,30.5,24.2,17558,51393,47717,55069,54959,53221,1738,51393,40.76640718,24.06041587,2.153619288,44.71951333,39.58047533,139.5858253,29,116906,23527,20.1,89953,44.1,42.3,45.8,39665,33.7,32.3,35.1,30314,7.1,6.5,7.7,6.6,5.8,7.5,5971,10963,3.2,2728,4
92176,11474,11558,10630,10692,11.59954869,10739,12444,12252,13.2919632,7537,4850,88956,853,428,404,0.438291963,210,1325,92176,-235,1251,0.7,9061,29307,15602,10125,45.7,15.8,11107,51030,47404,54656,44390,42360,2030,51030,47.61996886,17.63176857,1.529768829,62.34202248,42.62850665,179.6453271,38,92531,23202,25.1,71116,44.5,42.3,46.5,31621,35.3,33.7,36.9,25104,8.8,7.9,9.8,10.3,8.7,11.9,7303,9214,3.6,2336,5
46222,5621,5553,5170,4961,10.73298429,5262,6471,6037,13.0608801,4419,2728,44882,433,78,285,0.616589503,16,528,46222,-112,560,0.4,4801,16810,6795,4050,51.8,12.5,6867,47648,44034,51262,20787,19815,972,47648,25.27454904,20.4600055,0.718211518,37.44805381,25.99997876,96.60486279,10,46452,12596,27.1,35966,46.8,44.3,49.2,16831,32.5,30.6,34.3,11689,9.4,8.5,10.5,10.4,8.9,12.1,3754,4752,3.9,1296,5
44593,5313,5795,5246,5205,11.67223555,5601,6569,5738,12.86749041,3299,1827,42814,608,158,383,0.858879196,63,567,44593,189,683,0.6,3679,13118,7971,5977,42.7,19.4,5065,57193,52304,62082,23195,22476,719,57193,23.00992771,5.630868495,0.87961496,17.53232545,22.14364025,58.01460487,0,44339,10052,22.7,34423,50.5,48.0,52.8,17393,38.0,36.1,39.9,13081,7.9,7.0,8.7,9.9,8.4,11.5,3406,4457,3.4,1063,2
7063,806,845,718,810,11.46821464,713,1032,1006,14.24323942,600,533,6910,35,18,27,0.382273821,3,70,7063,10,151,0.0,295,2204,1825,790,43.1,15.4,667,54282,48672,59892,4116,4018,98,54282,4.301160435,1.908891702,0.264067082,2.859980768,4.836008168,9.146120029,0,7192,2161,30.0,5535,43.7,41.2,45.8,2418,35.4,33.5,37.3,1959,8.5,7.6,9.4,7.8,6.7,8.9,431,636,3.6,183,6
2252,62,138,179,206,9.147424512,262,350,527,23.40142096,370,158,2117,32,28,25,1.110124334,1,49,2252,-19,87,1.8,254,387,467,598,22.7,35.1,284,51343,45852,56834,1082,1050,32,51343,0.776772364,0.458452619,0.04103555,0.852095745,0.75417535,2.65969996,0,2236,965,43.2,2078,50.1,47.9,52.2,1042,35.4,34.1,36.9,736,10.7,9.6,11.9,8.7,7.2,10.5,181,342,4.5,87,6
5190,624,630,432,527,10.15414258,552,626,841,16.20423892,539,419,4364,21,555,26,0.500963391,14,210,5190,-88,136,0.0,354,1266,1202,873,34.3,23.6,834,43819,39081,48557,2690,2621,69,43819,2.811195749,2.211294646,0.250182971,2.404984688,3.389575735,7.384432852,0,5241,1703,32.5,4041,46.0,43.7,48.3,1861,35.2,33.5,36.7,1422,9.8,8.7,10.9,9.1,7.6,10.7,368,560,4.3,160,6
20468,2295,2319,2325,2287,11.17353918,2549,2861,2913,14.23197186,1987,932,19570,409,78,91,0.444596443,21,299,20468,-153,331,0.0,4115,5482,3179,1879,37.4,12.8,5629,33701,30277,37125,7598,7064,534,33701,13.43950522,4.516479941,0.480963888,9.046701707,8.703156072,29.57240821,0,20692,5282,25.5,16293,60.0,57.8,62.1,9782,42.9,40.9,44.7,6990,12.4,11.2,13.5,15.5,13.3,17.7,2530,2943,4.6,684,6
17150,2165,2225,2085,1884,10.98542274,2079,2407,2260,13.17784257,1381,664,15474,1055,64,162,0.944606414,6,389,17150,-75,298,1.6,1696,4423,3412,2214,37.7,18.9,3057,41807,37885,45729,7254,6854,400,41807,11.26087134,3.784328268,0.402996418,7.580170719,7.292316134,24.77852261,5,17167,4041,23.5,13143,53.8,51.6,56.1,7077,39.2,37.3,41.0,5152,10.2,9.3,11.1,12.2,10.5,14.0,1607,1995,3.8,470,5
21515,2767,3047,4002,3053,14.19009993,2478,2142,1934,8.989077388,1337,755,20458,589,150,188,0.873808971,13,117,21515,-59,3298,0.9,4637,4964,2628,1371,36.5,10.1,6369,33171,29564,36778,6381,5747,634,33171,7.421073454,4.379932544,0.392042567,8.140692698,7.20518768,25.41005535,0,21839,3957,18.1,16427,55.0,52.5,57.3,9035,43.8,41.9,45.8,7195,8.9,8.2,9.6,7.5,6.6,8.4,1237,3003,4.5,689,5
43327,3921,6112,7741,4592,10.59847208,4478,5112,5669,13.08422,3991,1711,36972,1010,3915,453,1.045537425,19,958,43327,135,4014,1.1,3141,7205,8407,8226,26.7,30.5,6570,44502,41963,47041,19484,18682,802,44502,19.68229375,17.70029469,0.467334513,21.09264255,16.79066145,62.50181854,9,41725,10654,25.5,36132,43.7,41.6,46.1,15791,30.4,28.8,31.9,10984,8.1,7.4,9.0,8.6,7.3,9.9,3099,4157,3.4,1153,5
37320,4731,5043,4607,4320,11.5755627,4674,5048,4385,11.74973205,3025,1487,30858,5341,140,296,0.793140407,12,673,37320,-83,516,0.5,4416,9511,7228,4310,37.3,16.9,6735,44302,40030,48574,16239,15497,742,44302,31.68612159,6.570956321,0.633942934,19.77350698,13.70419246,55.69326485,10,37751,8344,22.1,28393,51.2,48.8,53.3,14540,35.6,33.9,37.2,10108,9.5,8.7,10.3,11.4,9.9,12.9,3235,4170,3.8,1009,5
